127.0.0.1 - - [18/Apr/2022:17:04:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:04:13 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:04:13 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:06:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:06:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:07:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:07:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:12:49 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:20:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:21:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:21:51 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:21:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:23:28 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:23:38 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:35:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:35:57 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:35:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:37:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:38:16 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:38:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:39:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9608
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:43:12 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:43:36 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:44:01 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9691
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:44:19 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:44:29 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:44:34 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9255
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:44:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:45:33 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:45:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:45:53 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:45:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:46:16 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 500 9281
0:0:0:0:0:0:0:1 - - [18/Apr/2022:17:46:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
